hhid,region,year,urban,hh_size,income_annual
1001,A,2018,1,4,42100
1001,A,2019,1,4,43500
1001,A,2020,1,4,47800
1001,A,2021,1,4,51200
1001,A,2022,1,4,54300
1002,A,2018,0,6,27400
1002,A,2019,0,6,28100
1002,A,2020,0,6,31500
1002,A,2021,0,6,34900
1002,A,2022,0,6,37200
1003,B,2018,1,3,49300
1003,B,2019,1,3,50100
1003,B,2020,1,3,50800
1003,B,2021,1,3,51600
1003,B,2022,1,3,52400
1004,B,2018,0,5,23100
1004,B,2019,0,5,23800
1004,B,2020,0,5,24500
1004,B,2021,0,5,25200
1004,B,2022,0,5,25900
1005,C,2018,1,2,61200
1005,C,2019,1,2,62400
1005,C,2020,1,2,63700
1005,C,2021,1,2,65100
1005,C,2022,1,2,66600
1006,C,2018,0,4,31800
1006,C,2019,0,4,32500
1006,C,2020,0,4,33300
1006,C,2021,0,4,34100
1006,C,2022,0,4,34900
1007,D,2018,1,3,45600
1007,D,2019,1,3,46200
1007,D,2020,1,3,46900
1007,D,2021,1,3,47700
1007,D,2022,1,3,48500
1008,D,2018,0,6,19800
1008,D,2019,0,6,20300
1008,D,2020,0,6,20800
1008,D,2021,0,6,21400
1008,D,2022,0,6,22000
1009,A,2018,1,2,57900
1009,A,2019,1,2,59300
1009,A,2020,1,2,64100
1009,A,2021,1,2,69200
1009,A,2022,1,2,73800
1010,A,2018,0,5,26300
1010,A,2019,0,5,27000
1010,A,2020,0,5,30200
1010,A,2021,0,5,33700
1010,A,2022,0,5,36100
1011,B,2018,1,4,52700
1011,B,2019,1,4,53500
1011,B,2020,1,4,54300
1011,B,2021,1,4,55200
1011,B,2022,1,4,56100
1012,B,2018,0,3,29400
1012,B,2019,0,3,30100
1012,B,2020,0,3,30800
1012,B,2021,0,3,31600
1012,B,2022,0,3,32400
1013,C,2018,1,5,38900
1013,C,2019,1,5,39800
1013,C,2020,1,5,40800
1013,C,2021,1,5,41900
1013,C,2022,1,5,43100
1014,C,2018,0,2,54300
1014,C,2019,0,2,55400
1014,C,2020,0,2,56600
1014,C,2021,0,2,57900
1014,C,2022,0,2,59200
1015,D,2018,1,4,41800
1015,D,2019,1,4,42500
1015,D,2020,1,4,43300
1015,D,2021,1,4,44200
1015,D,2022,1,4,45100
1016,D,2018,0,3,33600
1016,D,2019,0,3,34200
1016,D,2020,0,3,34900
1016,D,2021,0,3,35700
1016,D,2022,0,3,36500
1017,A,2018,1,6,35200
1017,A,2019,1,6,36100
1017,A,2020,1,6,40500
1017,A,2021,1,6,45300
1017,A,2022,1,6,49800
1018,B,2018,1,2,67400
1018,B,2019,1,2,68300
1018,B,2020,1,2,69200
1018,B,2021,1,2,70200
1018,B,2022,1,2,71200
1019,C,2018,0,5,28700
1019,C,2019,0,5,29400
1019,C,2020,0,5,30200
1019,C,2021,0,5,31100
1019,C,2022,0,5,32000
1020,D,2018,1,3,48200
1020,D,2019,1,3,48900
1020,D,2020,1,3,49700
1020,D,2021,1,3,50600
1020,D,2022,1,3,51500
